"Dosis" "status"
"244" "0.5" "muerto"
"312" "0.95" "muerto"
"46" "0.1" "muerto"
"168" "0.3" "vivo"
"3" "0.1" "vivo"
"129" "0.2" "vivo"
"317" "0.95" "muerto"
"278" "0.7" "muerto"
"119" "0.2" "vivo"
"71" "0.15" "vivo"
"323" "0.95" "muerto"
"319" "0.95" "muerto"
"328" "0.95" "muerto"
"191" "0.3" "muerto"
"101" "0.2" "vivo"
"354" "0.95" "muerto"
"68" "0.15" "vivo"
"231" "0.5" "muerto"
"112" "0.2" "vivo"
"252" "0.5" "muerto"
"60" "0.15" "vivo"
"105" "0.2" "vivo"
"104" "0.2" "vivo"
"342" "0.95" "muerto"
"318" "0.95" "muerto"
"250" "0.5" "muerto"
"334" "0.95" "muerto"
"42" "0.1" "muerto"
"220" "0.5" "muerto"
"264" "0.7" "muerto"
"143" "0.2" "muerto"
"166" "0.3" "vivo"
"5" "0.1" "vivo"
"38" "0.1" "vivo"
"245" "0.5" "muerto"
"234" "0.5" "muerto"
"26" "0.1" "vivo"
"243" "0.5" "muerto"
"15" "0.1" "vivo"
"145" "0.2" "muerto"
"352" "0.95" "muerto"
"77" "0.15" "vivo"
"144" "0.2" "muerto"
"93" "0.15" "muerto"
"76" "0.15" "vivo"
"200" "0.3" "muerto"
"301" "0.7" "muerto"
"203" "0.3" "muerto"
"171" "0.3" "vivo"
"314" "0.95" "muerto"
"276" "0.7" "muerto"
"353" "0.95" "muerto"
"289" "0.7" "muerto"
"188" "0.3" "muerto"
"282" "0.7" "muerto"
"207" "0.3" "muerto"
"322" "0.95" "muerto"
"132" "0.2" "muerto"
"219" "0.5" "muerto"
"340" "0.95" "muerto"
"87" "0.15" "muerto"
"338" "0.95" "muerto"
"92" "0.15" "muerto"
"236" "0.5" "muerto"
"187" "0.3" "muerto"
"19" "0.1" "vivo"
"309" "0.95" "vivo"
"281" "0.7" "muerto"
"37" "0.1" "vivo"
"173" "0.3" "vivo"
"210" "0.5" "vivo"
"320" "0.95" "muerto"
"277" "0.7" "muerto"
"344" "0.95" "muerto"
"63" "0.15" "vivo"
"271" "0.7" "muerto"
"356" "0.95" "muerto"
"25" "0.1" "vivo"
"308" "0.95" "vivo"
"268" "0.7" "muerto"
"47" "0.1" "muerto"
"202" "0.3" "muerto"
"290" "0.7" "muerto"
"33" "0.1" "vivo"
"130" "0.2" "vivo"
"227" "0.5" "muerto"
"216" "0.5" "muerto"
"195" "0.3" "muerto"
"174" "0.3" "vivo"
"296" "0.7" "muerto"
"291" "0.7" "muerto"
"307" "0.7" "muerto"
"81" "0.15" "vivo"
"149" "0.2" "muerto"
"114" "0.2" "vivo"
"111" "0.2" "vivo"
"120" "0.2" "vivo"
"299" "0.7" "muerto"
"29" "0.1" "vivo"
"285" "0.7" "muerto"
"83" "0.15" "vivo"
"279" "0.7" "muerto"
"59" "0.15" "vivo"
"242" "0.5" "muerto"
"72" "0.15" "vivo"
"249" "0.5" "muerto"
"53" "0.15" "vivo"
"8" "0.1" "vivo"
"240" "0.5" "muerto"
"339" "0.95" "muerto"
"56" "0.15" "vivo"
"265" "0.7" "muerto"
"34" "0.1" "vivo"
"39" "0.1" "vivo"
"124" "0.2" "vivo"
"287" "0.7" "muerto"
"311" "0.95" "muerto"
"262" "0.7" "muerto"
"292" "0.7" "muerto"
"140" "0.2" "muerto"
"170" "0.3" "vivo"
"198" "0.3" "muerto"
"54" "0.15" "vivo"
"359" "0.95" "muerto"
"223" "0.5" "muerto"
"165" "0.3" "vivo"
"131" "0.2" "vivo"
"162" "0.3" "vivo"
"156" "0.3" "vivo"
"57" "0.15" "vivo"
"44" "0.1" "muerto"
"64" "0.15" "vivo"
"133" "0.2" "muerto"
"283" "0.7" "muerto"
"329" "0.95" "muerto"
"91" "0.15" "muerto"
"41" "0.1" "muerto"
"183" "0.3" "muerto"
"232" "0.5" "muerto"
"23" "0.1" "vivo"
"337" "0.95" "muerto"
"275" "0.7" "muerto"
"27" "0.1" "vivo"
"16" "0.1" "vivo"
"305" "0.7" "muerto"
"259" "0.7" "muerto"
"159" "0.3" "vivo"
"123" "0.2" "vivo"
"160" "0.3" "vivo"
"18" "0.1" "vivo"
"61" "0.15" "vivo"
"2" "0.1" "vivo"
"213" "0.5" "vivo"
"302" "0.7" "muerto"
"177" "0.3" "muerto"
"192" "0.3" "muerto"
"193" "0.3" "muerto"
"22" "0.1" "vivo"
"253" "0.5" "muerto"
"14" "0.1" "vivo"
"172" "0.3" "vivo"
"221" "0.5" "muerto"
"208" "0.5" "vivo"
"186" "0.3" "muerto"
"115" "0.2" "vivo"
"7" "0.1" "vivo"
"218" "0.5" "muerto"
"86" "0.15" "vivo"
"128" "0.2" "vivo"
"199" "0.3" "muerto"
"194" "0.3" "muerto"
"355" "0.95" "muerto"
"214" "0.5" "vivo"
"36" "0.1" "vivo"
"100" "0.15" "muerto"
"201" "0.3" "muerto"
"30" "0.1" "vivo"
"331" "0.95" "muerto"
"260" "0.7" "muerto"
"167" "0.3" "vivo"
"150" "0.2" "muerto"
"89" "0.15" "muerto"
"326" "0.95" "muerto"
"358" "0.95" "muerto"
"347" "0.95" "muerto"
"333" "0.95" "muerto"
"169" "0.3" "vivo"
"109" "0.2" "vivo"
"106" "0.2" "vivo"
"269" "0.7" "muerto"
"96" "0.15" "muerto"
"51" "0.15" "vivo"
"85" "0.15" "vivo"
"298" "0.7" "muerto"
"315" "0.95" "muerto"
"158" "0.3" "vivo"
"178" "0.3" "muerto"
"40" "0.1" "muerto"
"116" "0.2" "vivo"
"310" "0.95" "muerto"
"239" "0.5" "muerto"
"58" "0.15" "vivo"
"215" "0.5" "vivo"
"263" "0.7" "muerto"
"346" "0.95" "muerto"
"306" "0.7" "muerto"
"147" "0.2" "muerto"
"294" "0.7" "muerto"
"102" "0.2" "vivo"
"155" "0.2" "muerto"
"127" "0.2" "vivo"
"48" "0.15" "vivo"
"270" "0.7" "muerto"
"179" "0.3" "muerto"
"20" "0.1" "vivo"
"336" "0.95" "muerto"
"184" "0.3" "muerto"
"13" "0.1" "vivo"
"256" "0.7" "vivo"
"335" "0.95" "muerto"
"304" "0.7" "muerto"
"153" "0.2" "muerto"
"233" "0.5" "muerto"
"211" "0.5" "vivo"
"148" "0.2" "muerto"
"226" "0.5" "muerto"
"139" "0.2" "muerto"
"206" "0.3" "muerto"
"17" "0.1" "vivo"
"35" "0.1" "vivo"
"113" "0.2" "vivo"
"6" "0.1" "vivo"
"117" "0.2" "vivo"
"273" "0.7" "muerto"
"78" "0.15" "vivo"
"163" "0.3" "vivo"
"142" "0.2" "muerto"
"126" "0.2" "vivo"
"146" "0.2" "muerto"
"284" "0.7" "muerto"
"50" "0.15" "vivo"
"43" "0.1" "muerto"
"108" "0.2" "vivo"
"330" "0.95" "muerto"
"103" "0.2" "vivo"
"176" "0.3" "muerto"
"175" "0.3" "vivo"
"325" "0.95" "muerto"
"254" "0.7" "vivo"
"261" "0.7" "muerto"
"10" "0.1" "vivo"
"98" "0.15" "muerto"
"97" "0.15" "muerto"
"134" "0.2" "muerto"
"90" "0.15" "muerto"
"332" "0.95" "muerto"
"197" "0.3" "muerto"
"190" "0.3" "muerto"
"185" "0.3" "muerto"
"74" "0.15" "vivo"
"348" "0.95" "muerto"
"230" "0.5" "muerto"
"107" "0.2" "vivo"
"300" "0.7" "muerto"
"94" "0.15" "muerto"
"212" "0.5" "vivo"
"324" "0.95" "muerto"
"237" "0.5" "muerto"
"341" "0.95" "muerto"
"280" "0.7" "muerto"
"180" "0.3" "muerto"
"135" "0.2" "muerto"
"95" "0.15" "muerto"
"274" "0.7" "muerto"
"288" "0.7" "muerto"
"161" "0.3" "vivo"
"241" "0.5" "muerto"
"181" "0.3" "muerto"
"66" "0.15" "vivo"
"55" "0.15" "vivo"
"154" "0.2" "muerto"
"152" "0.2" "muerto"
"125" "0.2" "vivo"
"247" "0.5" "muerto"
"229" "0.5" "muerto"
"266" "0.7" "muerto"
"350" "0.95" "muerto"
"80" "0.15" "vivo"
"164" "0.3" "vivo"
"151" "0.2" "muerto"
"75" "0.15" "vivo"
"52" "0.15" "vivo"
"9" "0.1" "vivo"
"255" "0.7" "vivo"
"84" "0.15" "vivo"
"121" "0.2" "vivo"
"222" "0.5" "muerto"
"345" "0.95" "muerto"
"49" "0.15" "vivo"
"235" "0.5" "muerto"
"157" "0.3" "vivo"
"69" "0.15" "vivo"
"62" "0.15" "vivo"
"272" "0.7" "muerto"
"313" "0.95" "muerto"
"11" "0.1" "vivo"
"225" "0.5" "muerto"
"110" "0.2" "vivo"
"204" "0.3" "muerto"
"31" "0.1" "vivo"
"122" "0.2" "vivo"
"303" "0.7" "muerto"
"4" "0.1" "vivo"
"295" "0.7" "muerto"
"67" "0.15" "vivo"
"349" "0.95" "muerto"
"82" "0.15" "vivo"
"321" "0.95" "muerto"
"189" "0.3" "muerto"
"24" "0.1" "vivo"
"141" "0.2" "muerto"
"118" "0.2" "vivo"
"196" "0.3" "muerto"
"65" "0.15" "vivo"
"138" "0.2" "muerto"
"12" "0.1" "vivo"
"182" "0.3" "muerto"
"88" "0.15" "muerto"
"327" "0.95" "muerto"
"297" "0.7" "muerto"
"21" "0.1" "vivo"
"28" "0.1" "vivo"
"228" "0.5" "muerto"
"205" "0.3" "muerto"
"343" "0.95" "muerto"
"316" "0.95" "muerto"
"209" "0.5" "vivo"
"79" "0.15" "vivo"
"137" "0.2" "muerto"
"258" "0.7" "muerto"
"357" "0.95" "muerto"
"99" "0.15" "muerto"
"267" "0.7" "muerto"
"351" "0.95" "muerto"
"70" "0.15" "vivo"
"238" "0.5" "muerto"
"136" "0.2" "muerto"
"224" "0.5" "muerto"
"246" "0.5" "muerto"
"248" "0.5" "muerto"
"217" "0.5" "muerto"
"257" "0.7" "vivo"
"32" "0.1" "vivo"
"1" "0.1" "vivo"
"286" "0.7" "muerto"
"45" "0.1" "muerto"
"73" "0.15" "vivo"
"293" "0.7" "muerto"
"251" "0.5" "muerto"
