"periodo","data"
"1951M01",1.18765993
"1951M02",1.16682143
"1951M03",1.21719871
"1951M04",1.25193162
"1951M05",1.22873793
"1951M06",1.21124447
"1951M07",1.16514998
"1951M08",1.1990931
"1951M09",1.22500884
"1951M10",1.19179257
"1951M11",1.37837778
"1951M12",1.26900163
"1952M01",1.22147594
"1952M02",1.33420406
"1952M03",1.22268946
"1952M04",1.15316356
"1952M05",1.17631454
"1952M06",1.23006232
"1952M07",1.08222927
"1952M08",1.17589935
"1952M09",1.22095435
"1952M10",1.3117303
"1952M11",1.34553916
"1952M12",1.35614945
"1953M01",1.4203314
"1953M02",1.22490812
"1953M03",1.21982362
"1953M04",1.33873097
"1953M05",1.28143914
"1953M06",1.20097875
"1953M07",1.05671412
"1953M08",1.199266
"1953M09",1.47187545
"1953M10",1.36785342
"1953M11",1.41948973
"1953M12",1.37949023
"1954M01",1.22822922
"1954M02",1.25077525
"1954M03",1.42624362
"1954M04",1.31182201
"1954M05",1.40662741
"1954M06",1.28948398
"1954M07",1.23406485
"1954M08",1.35854363
"1954M09",1.29555197
"1954M10",1.35450321
"1954M11",1.36076244
"1954M12",1.3463597
"1955M01",1.35062282
"1955M02",1.36844493
"1955M03",1.36643526
"1955M04",1.4362657
"1955M05",1.37896661
"1955M06",1.36657988
"1955M07",1.33368495
"1955M08",1.41880612
"1955M09",1.46135318
"1955M10",1.48145987
"1955M11",1.45938117
"1955M12",1.45513892
"1956M01",1.41498985
"1956M02",1.43526945
"1956M03",1.53020494
"1956M04",1.47198713
"1956M05",1.41181711
"1956M06",1.44162842
"1956M07",1.32876311
"1956M08",1.3584111
"1956M09",1.46562577
"1956M10",1.42140658
"1956M11",1.43417191
"1956M12",1.36103641
"1957M01",1.35526704
"1957M02",1.33902225
"1957M03",1.34725454
"1957M04",1.40323119
"1957M05",1.33620335
"1957M06",1.27674574
"1957M07",1.2147965
"1957M08",1.24288736
"1957M09",1.24242252
"1957M10",1.19049456
"1957M11",1.16694269
"1957M12",1.11016246
"1958M01",1.11285335
"1958M02",1.16873128
"1958M03",1.14549785
"1958M04",1.23161768
"1958M05",1.17190991
"1958M06",1.1971029
"1958M07",1.16287422
"1958M08",1.25183515
"1958M09",1.22794955
"1958M10",1.25718015
"1958M11",1.29348123
"1958M12",1.30156268
"1959M01",1.19843379
"1959M02",1.34625845
"1959M03",1.36968368
"1959M04",1.3157226
"1959M05",1.38865407
"1959M06",1.3651126
"1959M07",1.25243322
"1959M08",1.34706185
"1959M09",1.28033254
"1959M10",1.25474004
"1959M11",1.36869555
"1959M12",1.30747076
"1960M01",1.40576877
"1960M02",1.38758452
"1960M03",1.30601317
"1960M04",1.30288532
"1960M05",1.27580971
"1960M06",1.21838552
"1960M07",1.26329997
"1960M08",1.25215647
"1960M09",1.17154253
"1960M10",1.25285286
"1960M11",1.08151899
"1960M12",1.10058203
"1961M01",1.16016748
"1961M02",1.24968132
"1961M03",1.16688089
"1961M04",1.26405968
"1961M05",1.23490817
"1961M06",1.22781728
"1961M07",1.26921088
"1961M08",1.14152777
"1961M09",1.20861748
"1961M10",1.19266644
"1961M11",1.13909386
"1961M12",1.19966692
"1962M01",1.27643342
"1962M02",1.20613934
"1962M03",1.22138843
"1962M04",1.23472141
"1962M05",1.17761619
"1962M06",1.33727607
"1962M07",1.29815701
"1962M08",1.31212164
"1962M09",1.24339789
"1962M10",1.25419847
"1962M09",1.24339789
"1962M10",1.25419847
"1962M11",1.20390607
"1962M12",1.20432492
"1963M01",1.25893137
"1963M02",1.20352866
"1963M03",1.20300458
"1963M04",1.23243933
"1963M05",1.187335
"1963M06",1.21409273
"1963M07",1.26909998
"1963M08",1.20805848
"1963M09",1.20069717
"1963M10",1.16106383
"1963M11",1.14331123
"1963M12",1.25593488
"1964M01",1.1858434
"1964M02",1.29452058
"1964M03",1.26996286
"1964M04",1.24181362
"1964M05",1.24520051
"1964M06",1.27270009
"1964M07",1.4449419
"1964M08",1.33843555
"1964M09",1.20783432
"1964M10",1.23833352
"1964M11",1.31152358
"1964M12",1.28134761
"1965M01",1.21027136
"1965M02",1.2996963
"1965M03",1.30375529
"1965M04",1.22059911
"1965M05",1.28625013
"1965M06",1.25680192
"1965M07",1.38286839
"1965M08",1.31895458
"1965M09",1.28142749
"1965M10",1.24117607
"1965M11",1.26570365
"1965M12",1.29084717
"1966M01",1.33059512
"1966M02",1.28896997
"1966M03",1.2534323
"1966M04",1.17382381
"1966M05",1.27613783
"1966M06",1.22637949
"1966M07",1.45585208
"1966M08",1.28881111
"1966M09",1.2135277
"1966M10",1.22736309
"1966M11",1.15816908
"1966M12",1.23576228
"1967M01",1.24212847
"1967M02",1.28449851
"1967M03",1.17007199
"1967M04",1.1852393
"1967M05",1.2189678
"1967M06",1.21325925
"1967M07",1.42205801
"1967M08",1.25079443
"1967M09",1.25000908
"1967M10",1.26341928
"1967M11",1.15195743
"1967M12",1.21754984
"1968M01",1.30009678
"1968M02",1.00942685
"1968M03",1.2069886
"1968M04",1.19692658
"1968M05",1.24436888
"1968M06",1.32472496
"1968M07",1.44574202
"1968M08",1.37882974
"1968M08",1.37882974
"1968M09",1.26124727
"1968M10",1.24297885
"1968M11",0.95962804
"1968M12",1.13014758
